Film,Genre,Lead Studio,rating,Profitability,Worldwide Gross,Year
Zack and Miri Make a Porno,Romance,The Weinstein Company,8,1.747541667,$41.94 ,2008
Youth in Revolt,Comedy,The Weinstein Company,4,1.09,$19.62 ,2010
You Will Meet a Tall Dark Stranger,Comedy,Independent,9,1.211818182,$26.66 ,2010
When in Rome,Comedy,Disney,5,0,$43.04 ,2010
What Happens in Vegas,Comedy,Fox,6,6.267647029,$219.37 ,2008
Water For Elephants,Drama,20th Century Fox,2,3.081421053,$117.09 ,2011
WALL-E,Animation,Disney,7,2.896019067,$521.28 ,2008
Waitress,Romance,Independent,3,11.0897415,$22.18 ,2007
Waiting For Forever,Romance,Independent,9,0.005,$0.03 ,2011
Valentine's Day,Comedy,Warner Bros.,4,4.184038462,$217.57 ,2010
Tyler Perry's Why Did I get Married,Romance,Independent,10,3.7241924,$55.86 ,2007
Twilight: Breaking Dawn,Romance,Independent,1,6.383363636,$702.17 ,2011
Twilight,Romance,Summit,8,10.18002703,$376.66 ,2008
The Ugly Truth,Comedy,Independent,4,5.402631579,$205.30 ,2009
The Twilight Saga: New Moon,Drama,Summit,9,14.1964,$709.82 ,2009
The Time Traveler's Wife,Drama,Paramount,5,2.598205128,$101.33 ,2009
The Proposal,Comedy,Disney,6,7.8675,$314.70 ,2009
The Invention of Lying,Comedy,Warner Bros.,2,1.751351351,$32.40 ,2009
The Heartbreak Kid,Comedy,Paramount,7,2.129444167,$127.77 ,2007
The Duchess,Drama,Paramount,3,3.207850222,$43.31 ,2008
The Curious Case of Benjamin Button,Fantasy,Warner Bros.,9,1.78394375,$285.43 ,2008
The Back-up Plan,Comedy,CBS,4,2.202571429,$77.09 ,2010
Tangled,Animation,Disney,10,1.365692308,$355.01 ,2010
Something Borrowed,Romance,Independent,1,1.719514286,$60.18 ,2011
She's Out of My League,Comedy,Paramount,8,2.4405,$48.81 ,2010
Sex and the City Two,Comedy,Warner Bros.,4,2.8835,$288.35 ,2010
Sex and the City 2,Comedy,Warner Bros.,9,2.8835,$288.35 ,2010
Sex and the City,Comedy,Warner Bros.,5,7.221795791,$415.25 ,2008
Remember Me,Drama,Summit,6,3.49125,$55.86 ,2010
Rachel Getting Married,Drama,Independent,2,1.384166667,$16.61 ,2008
Penelope,Comedy,Summit,7,1.382799733,$20.74 ,2008
P.S. I Love You,Romance,Independent,3,5.103116833,$153.09 ,2007
Over Her Dead Body,Comedy,New Line,9,2.071,$20.71 ,2008
Our Family Wedding,Comedy,Independent,4,0,$21.37 ,2010
One Day,Romance,Independent,10,3.682733333,$55.24 ,2011
Not Easily Broken,Drama,Independent,1,2.14,$10.70 ,2009
No Reservations,Comedy,Warner Bros.,8,3.307180357,$92.60 ,2007
Nick and Norah's Infinite Playlist,Comedy,Sony,4,3.3527293,$33.53 ,2008
New Year's Eve,Romance,Warner Bros.,9,2.536428571,$142.04 ,2011
My Week with Marilyn,Drama,The Weinstein Company,5,0.8258,$8.26 ,2011
Music and Lyrics,Romance,Warner Bros.,6,3.64741055,$145.90 ,2007
Monte Carlo,Romance,20th Century Fox,2,1.9832,$39.66 ,2011
Miss Pettigrew Lives for a Day,Comedy,Independent,7,0.2528949,$15.17 ,2008
Midnight in Paris,Romence,Sony,3,8.744705882,$148.66 ,2011
Marley and Me,Comedy,Fox,9,3.746781818,$206.07 ,2008
Mamma Mia!,Comedy,Universal,4,9.234453864,$609.47 ,2008
Mamma Mia!,Comedy,Universal,10,9.234453864,$609.47 ,2008
Made of Honor,Comdy,Sony,1,2.64906835,$105.96 ,2008
Love Happens,Drama,Universal,8,2.004444444,$36.08 ,2009
Love & Other Drugs,Comedy,Fox,4,1.817666667,$54.53 ,2010
Life as We Know It,Comedy,Independent,9,2.530526316,$96.16 ,2010
License to Wed,Comedy,Warner Bros.,5,1.9802064,$69.31 ,2007
Letters to Juliet,Comedy,Summit,6,2.639333333,$79.18 ,2010
Leap Year,Comedy,Universal,2,1.715263158,$32.59 ,2010
Knocked Up,Comedy,Universal,7,6.636401848,$219 ,2007
Killers,Action,Lionsgate,3,1.245333333,$93.40 ,2010
Just Wright,Comedy,Fox,9,1.797416667,$21.57 ,2010
Jane Eyre,Romance,Universal,4,0,$30.15 ,2011
It's Complicated,Comedy,Universal,10,2.642352941,$224.60 ,2009
I Love You Phillip Morris,Comedy,Independent,1,1.34,$20.10 ,2010
High School Musical 3: Senior Year,Comedy,Disney,8,22.91313646,$252.04 ,2008
He's Just Not That Into You,Comedy,Warner Bros.,6,7.1536,$178.84 ,2009
Good Luck Chuck,Comedy,Lionsgate,2,2.36768512,$59.19 ,2007
Going the Distance,Comedy,Warner Bros.,7,1.3140625,$42.05 ,2010
Gnomeo and Juliet,Animation,Disney,3,5.387972222,$193.97 ,2011
Gnomeo and Juliet,Animation,Disney,9,5.387972222,$193.97 ,2011
Ghosts of Girlfriends Past,Comedy,Warner Bros.,4,2.0444,$102.22 ,2009
Four Christmases,Comedy,Warner Bros.,10,2.022925,$161.83 ,2008
Fireproof,Drama,Independent,1,66.934,$33.47 ,2008
Enchanted,Comedy,Disney,8,4.005737082,$340.49 ,2007
Dear John,Drama,Sony,6,4.5988,$114.97 ,2010
Beginners,Comedy,Independent,2,4.471875,$14.31 ,2011
Across the Universe,romance,Independent,7,0.652603178,$29.37 ,2007
A Serious Man,Drama,Universal,3,4.382857143,$30.68 ,2009
A Dangerous Method,Drama,Independent,9,0.44864475,$8.97 ,2011
27 Dresses,Comedy,Fox,4,5.3436218,$160.31 ,2008
(500) Days of Summer,comedy,Fox,10,8.096,$60.72 ,2009
